report_id,group_id,description
1,1,حفرة في شارع عباس العقاد
2,1,يوجد حفرة في شارع عباس العقاد
3,1,بلاغ عن حفرة في شارع عباس العقاد
4,1,تم رصد حفرة في شارع عباس العقاد
5,2,كسر ماسورة مياه في شارع الطيران
6,2,يوجد كسر ماسورة مياه في شارع الطيران
7,2,بلاغ عن كسر ماسورة مياه في شارع الطيران
8,2,تم رصد كسر ماسورة مياه في شارع الطيران
9,3,عمود إنارة معطل في مدينة نصر
10,3,يوجد عمود إنارة معطل في مدينة نصر
11,3,بلاغ عن عمود إنارة معطل في مدينة نصر
12,3,تم رصد عمود إنارة معطل في مدينة نصر
13,4,طفح صرف صحي في عين شمس
14,4,يوجد طفح صرف صحي في عين شمس
15,4,بلاغ عن طفح صرف صحي في عين شمس
16,4,تم رصد طفح صرف صحي في عين شمس
17,5,إشارة مرور معطلة في جسر السويس
18,5,يوجد إشارة مرور معطلة في جسر السويس
19,5,بلاغ عن إشارة مرور معطلة في جسر السويس
20,5,تم رصد إشارة مرور معطلة في جسر السويس
21,6,تراكم قمامة في شارع النزهة
22,6,يوجد تراكم قمامة في شارع النزهة
23,6,بلاغ عن تراكم قمامة في شارع النزهة
24,6,تم رصد تراكم قمامة في شارع النزهة
25,7,بالوعة مفتوحة في شارع مكرم عبيد
26,7,يوجد بالوعة مفتوحة في شارع مكرم عبيد
27,7,بلاغ عن بالوعة مفتوحة في شارع مكرم عبيد
28,7,تم رصد بالوعة مفتوحة في شارع مكرم عبيد
29,8,تشققات بالطريق في شارع مصطفى النحاس
30,8,يوجد تشققات بالطريق في شارع مصطفى النحاس
31,8,بلاغ عن تشققات بالطريق في شارع مصطفى النحاس
32,8,تم رصد تشققات بالطريق في شارع مصطفى النحاس
33,9,عمود إنارة مائل في مدينة السلام
34,9,يوجد عمود إنارة مائل في مدينة السلام
35,9,بلاغ عن عمود إنارة مائل في مدينة السلام
36,9,تم رصد عمود إنارة مائل في مدينة السلام
37,10,تسرب غاز في المعادي
38,10,يوجد تسرب غاز في المعادي
39,10,بلاغ عن تسرب غاز في المعادي
40,10,تم رصد تسرب غاز في المعادي
41,11,حفرة في شارع عباس العقاد
42,11,يوجد حفرة في شارع عباس العقاد
43,11,بلاغ عن حفرة في شارع عباس العقاد
44,11,تم رصد حفرة في شارع عباس العقاد
45,12,كسر ماسورة مياه في شارع الطيران
46,12,يوجد كسر ماسورة مياه في شارع الطيران
47,12,بلاغ عن كسر ماسورة مياه في شارع الطيران
48,12,تم رصد كسر ماسورة مياه في شارع الطيران
49,13,عمود إنارة معطل في مدينة نصر
50,13,يوجد عمود إنارة معطل في مدينة نصر
51,13,بلاغ عن عمود إنارة معطل في مدينة نصر
52,13,تم رصد عمود إنارة معطل في مدينة نصر
53,14,طفح صرف صحي في عين شمس
54,14,يوجد طفح صرف صحي في عين شمس
55,14,بلاغ عن طفح صرف صحي في عين شمس
56,14,تم رصد طفح صرف صحي في عين شمس
57,15,إشارة مرور معطلة في جسر السويس
58,15,يوجد إشارة مرور معطلة في جسر السويس
59,15,بلاغ عن إشارة مرور معطلة في جسر السويس
60,15,تم رصد إشارة مرور معطلة في جسر السويس
61,16,تراكم قمامة في شارع النزهة
62,16,يوجد تراكم قمامة في شارع النزهة
63,16,بلاغ عن تراكم قمامة في شارع النزهة
64,16,تم رصد تراكم قمامة في شارع النزهة
65,17,بالوعة مفتوحة في شارع مكرم عبيد
66,17,يوجد بالوعة مفتوحة في شارع مكرم عبيد
67,17,بلاغ عن بالوعة مفتوحة في شارع مكرم عبيد
68,17,تم رصد بالوعة مفتوحة في شارع مكرم عبيد
69,18,تشققات بالطريق في شارع مصطفى النحاس
70,18,يوجد تشققات بالطريق في شارع مصطفى النحاس
71,18,بلاغ عن تشققات بالطريق في شارع مصطفى النحاس
72,18,تم رصد تشققات بالطريق في شارع مصطفى النحاس
73,19,عمود إنارة مائل في مدينة السلام
74,19,يوجد عمود إنارة مائل في مدينة السلام
75,19,بلاغ عن عمود إنارة مائل في مدينة السلام
76,19,تم رصد عمود إنارة مائل في مدينة السلام
77,20,تسرب غاز في المعادي
78,20,يوجد تسرب غاز في المعادي
79,20,بلاغ عن تسرب غاز في المعادي
80,20,تم رصد تسرب غاز في المعادي
81,21,حفرة في شارع عباس العقاد
82,21,يوجد حفرة في شارع عباس العقاد
83,21,بلاغ عن حفرة في شارع عباس العقاد
84,21,تم رصد حفرة في شارع عباس العقاد
85,22,كسر ماسورة مياه في شارع الطيران
86,22,يوجد كسر ماسورة مياه في شارع الطيران
87,22,بلاغ عن كسر ماسورة مياه في شارع الطيران
88,22,تم رصد كسر ماسورة مياه في شارع الطيران
